date_label,acquisition_date,product_id,mgrs_tile,cloud_percent,spacecraft,orbit_number,orbit_direction,sun_azimuth,sun_zenith,processing_baseline,generation_time
2024,2025-02-02 05:40:33,S2B_MSIL2A_20250202T052939_N0511_R105_T44RKU_20250202T073543,44RKU,0.012734,Sentinel-2B,105.0,DESCENDING,155.185551204778,50.6785898773397,05.11,2025-02-02
2024,2025-02-12 05:40:38,S2B_MSIL2A_20250212T052839_N0511_R105_T43RGP_20250212T073606,43RGP,0.020906,Sentinel-2B,105.0,DESCENDING,152.485016065543,48.1479576269824,05.11,2025-02-12
2024,2025-02-12 05:40:34,S2B_MSIL2A_20250212T052839_N0511_R105_T44RKU_20250212T073606,44RKU,1.303328,Sentinel-2B,105.0,DESCENDING,153.438835597761,47.8368984615648,05.11,2025-02-12
2024,2025-02-17 05:40:57,S2C_MSIL2A_20250217T052931_N0511_R105_T43RGP_20250217T090011,43RGP,0.0,Sentinel-2C,105.0,DESCENDING,151.68518410463,46.5341739571799,05.11,2025-02-17
2024,2025-02-17 05:40:54,S2C_MSIL2A_20250217T052931_N0511_R105_T44RKU_20250217T090011,44RKU,1.107957,Sentinel-2C,105.0,DESCENDING,152.66708078356,46.2147354551112,05.11,2025-02-17
2016,2016-11-01 05:40:31,S2A_MSIL2A_20161101T053832_N0500_R105_T43RGP_20230927T071805,43RGP,0.0,Sentinel-2A,105.0,DESCENDING,162.392519398933,46.5286729333278,05.00,2023-09-27
2016,2016-11-01 05:40:28,S2A_MSIL2A_20161101T053832_N0500_R105_T44RKU_20230927T071805,44RKU,0.149911,Sentinel-2A,105.0,DESCENDING,163.419817148944,46.3282973176609,05.00,2023-09-27
2016,2016-11-11 05:40:32,S2A_MSIL2A_20161111T053042_N0500_R105_T43RGP_20231012T075851,43RGP,2.99E-4,Sentinel-2A,105.0,DESCENDING,163.311330756903,49.4218332818996,05.00,2023-10-12
2016,2016-11-21 05:40:29,S2A_MSIL2A_20161121T053132_N0500_R105_T44RKU_20230925T191020,44RKU,0.397271,Sentinel-2A,105.0,DESCENDING,164.513774918499,51.7302314732878,05.00,2023-09-25
2016,2016-12-11 05:40:29,S2A_MSIL2A_20161211T053222_N0500_R105_T43RGP_20230921T190853,43RGP,0.351755,Sentinel-2A,105.0,DESCENDING,162.531419090721,55.2972246031765,05.00,2023-09-21
2016,2016-12-11 05:40:27,S2A_MSIL2A_20161211T053222_N0500_R105_T44RKU_20230921T190853,44RKU,0.00761,Sentinel-2A,105.0,DESCENDING,163.39009812615,55.0974830085612,05.00,2023-09-21
2016,2016-12-21 05:40:28,S2A_MSIL2A_20161221T053232_N0500_R105_T43RGP_20231021T170755,43RGP,0.594772,Sentinel-2A,105.0,DESCENDING,161.380187318051,56.0106653346316,05.00,2023-10-21
2016,2016-12-21 05:40:25,S2A_MSIL2A_20161221T053232_N0500_R105_T44RKU_20231021T170755,44RKU,0.167356,Sentinel-2A,105.0,DESCENDING,162.224083953167,55.797649260709,05.00,2023-10-21
2016,2017-02-09 05:40:26,S2A_MSIL2A_20170209T052951_N0500_R105_T43RGP_20231014T201554,43RGP,0.162459,Sentinel-2A,105.0,DESCENDING,152.979147958775,49.0783984121421,05.00,2023-10-14
2016,2017-02-09 05:40:24,S2A_MSIL2A_20170209T052951_N0500_R105_T44RKU_20231014T201554,44RKU,0.907685,Sentinel-2A,105.0,DESCENDING,153.917429700333,48.7725521120354,05.00,2023-10-14
