segment_id,n_pixels,centroid_row,centroid_col,centroid_x,centroid_y,mean_B2,mean_B3,mean_B4,mean_B8,mean_NDVI,mean_B11,mean_NDBI
47,1576,175.54822,3382.4314,204494.3125,3379524.5,399.06155,529.61804,536.4597,2488.056,0.65271807,1824.8789,-0.13166176
48,1120,176.86517,2692.4019,197594.015625,3379511.25,559.9951,795.88794,898.304,2175.7156,0.42128134,1812.9592,-0.077383645
49,1316,180.30243,3297.4187,203644.1875,3379477.0,248.70744,371.69452,294.6588,2576.0432,0.7962945,1823.4125,-0.1446312
50,1395,181.23799,2737.689,198046.890625,3379467.5,388.19785,599.2355,583.58746,2420.0642,0.61185884,1813.7437,-0.13191222
51,1251,184.18785,2825.9233,198929.234375,3379438.0,229.77419,412.14148,313.93124,2570.2373,0.78380716,1815.2693,-0.1562295
52,1632,182.62378,3505.8645,205728.640625,3379453.75,368.19055,459.49112,447.70743,2402.45,0.67900276,1827.0146,-0.105680004
53,1381,181.35336,3005.8254,200728.25,3379466.5,309.6767,464.2661,407.37726,2541.9668,0.73050255,1818.3756,-0.14597398
54,1371,184.07002,3191.2407,202582.40625,3379439.25,332.40262,466.155,500.26987,2191.167,0.6322923,1821.58,-0.081410855
55,1650,187.3194,3340.1377,204071.375,3379406.75,402.69424,530.9415,464.77274,2838.9006,0.7106598,1824.1538,-0.1939603
56,1200,189.04333,2594.5276,196615.28125,3379389.5,611.2808,848.2867,914.5371,2071.9988,0.38180384,1811.2744,-0.042724553
57,1385,184.28447,3426.4744,204934.75,3379437.25,373.48737,467.41373,427.9693,2292.7527,0.6828169,1825.6438,-0.08002398
58,1363,189.95158,3226.4673,202934.671875,3379380.5,397.64307,575.2432,639.9582,2613.795,0.6148298,1822.1913,-0.15437022
59,1503,192.1956,3263.825,203308.25,3379358.0,276.20026,432.46573,370.30737,2658.922,0.76127696,1822.8378,-0.16424055
60,1272,190.20755,2636.0393,197030.390625,3379378.0,566.83295,779.21735,818.1541,2113.0762,0.43679196,1811.9921,-0.052363783
61,1194,189.67505,3150.52,202175.203125,3379383.25,476.86975,655.4062,735.5398,2599.1265,0.5711367,1820.8792,-0.16449262
62,1192,190.14932,3079.0771,201460.765625,3379378.5,452.28732,619.0231,618.6401,2386.7092,0.593385,1819.6453,-0.113665186
63,1299,198.36258,2857.8223,199248.21875,3379296.25,200.84718,366.9646,273.99924,2472.2256,0.7999383,1815.827,-0.13808309
