segment_id,n_pixels,centroid_row,centroid_col,centroid_x,centroid_y,mean_B2,mean_B3,mean_B4,mean_B8,mean_NDVI,mean_B11,mean_NDBI
1,1394,27.086082,3258.6814,203256.8125,3381009.25,613.68866,829.1263,814.807,2661.5835,0.5448032,1810.308,-0.16120054
2,1375,45.439274,3290.184,203571.84375,3380825.5,698.7193,929.57166,924.4211,2550.7234,0.4539674,1810.9642,-0.14055711
3,1673,60.99462,3241.5618,203085.625,3380670.0,375.22745,542.8906,489.39,2387.7795,0.65991586,1809.976,-0.117275655
4,1324,70.713745,3313.6172,203806.171875,3380572.75,718.66766,929.821,999.75757,2275.393,0.3849618,1811.4589,-0.08389188
5,1371,72.04887,3209.2903,202762.90625,3380559.5,442.41647,629.81036,715.6254,2222.556,0.5277003,1809.3206,-0.08987192
6,1476,83.25407,3277.5427,203445.421875,3380447.5,498.0508,715.6352,653.2561,2826.6138,0.626321,1810.7262,-0.19636582
7,1595,110.38245,3255.279,203222.796875,3380176.25,399.93292,598.89716,597.2636,2476.2283,0.6179088,1810.285,-0.13636218
8,1382,109.45658,2870.8733,199378.734375,3380185.5,670.3379,915.6382,987.7489,2119.5188,0.3852733,1802.4033,-0.06279681
9,1640,109.413414,3215.6062,202826.0625,3380185.75,364.05396,550.857,498.5619,2578.3235,0.6823113,1809.4711,-0.14909527
10,1165,115.96309,2839.6626,199066.625,3380120.25,650.6678,890.0378,926.8944,2025.1039,0.3662636,1801.7671,-0.029017624
11,1755,111.6,3312.772,203797.71875,3380164.0,450.89172,624.00885,649.4202,2236.3752,0.5690958,1811.4645,-0.08807057
12,1234,128.66208,2807.4968,198744.96875,3379993.5,619.0689,858.09155,886.10046,2062.2422,0.38653687,1801.1149,-0.03179224
13,1242,131.48953,2770.9019,198379.015625,3379965.0,644.5443,866.86957,901.0467,1822.942,0.32238287,1800.3662,0.033277094
14,1394,139.51793,2894.695,199616.953125,3379884.75,641.0251,909.52295,969.24176,2247.6313,0.3995415,1802.9088,-0.08429601
15,1526,143.00262,3277.4207,203444.203125,3379850.0,216.4312,360.81946,305.79947,2240.3237,0.7622999,1810.7573,-0.0917575
16,1562,142.87772,3347.8872,204148.875,3379851.25,563.9555,791.3899,765.257,2397.3948,0.5110574,1812.202,-0.12009812
17,1796,147.56013,3549.2283,206162.28125,3379804.5,478.63864,678.15643,658.2297,2357.6907,0.5518473,1816.3326,-0.09608098
18,1389,136.8992,3383.484,204504.84375,3379911.0,609.1548,850.26385,819.70734,2585.4622,0.50797844,1812.9285,-0.15629771
19,1470,147.09796,3514.6,205816.0,3379809.0,644.5643,887.95746,803.2575,2682.9949,0.50719583,1815.6224,-0.15270005
20,1388,140.12032,2735.2283,198022.28125,3379878.75,1146.6852,1438.8148,1599.1938,2027.211,0.11119198,1799.6399,-0.021498295
21,1106,136.4792,2966.7957,200337.953125,3379915.25,700.9331,937.7857,975.86707,2208.9954,0.35373875,1804.3853,-0.055383638
22,1268,144.3959,2933.8604,200008.609375,3379836.0,745.00433,988.5785,1041.1243,2456.037,0.42529216,1803.7145,-0.13672493
23,1436,146.64485,3204.314,202713.140625,3379813.5,415.62326,633.27997,672.15845,2589.0532,0.6057239,1809.2605,-0.16543752
24,1209,145.65343,2998.7014,200657.015625,3379823.5,695.44415,947.26263,901.06036,2830.024,0.4876653,1805.0446,-0.17623226
25,1183,142.39815,3120.5386,201875.390625,3379856.0,537.57605,781.888,848.5131,2687.7134,0.53066665,1807.5405,-0.18710084
26,1258,148.77504,2701.5166,197685.171875,3379792.25,1257.1963,1512.3966,1630.9618,1857.062,0.052325077,1798.9537,0.013458633
27,1523,152.80959,3241.1294,203081.296875,3379752.0,359.64478,558.0371,523.5092,2434.6313,0.65034425,1810.0188,-0.12821223
28,1224,153.40033,3086.5645,201535.640625,3379746.0,490.4947,702.1887,635.5143,2740.0686,0.6244466,1806.8502,-0.18673831
29,1398,150.97568,3421.3384,204883.375,3379770.25,486.9746,696.54865,649.25964,2433.9856,0.5638606,1813.7124,-0.11807723
30,1533,151.22049,2849.0215,199160.21875,3379767.75,395.88977,650.0281,654.6954,2402.735,0.59258115,1801.9791,-0.13503128
31,1118,148.97496,3031.2112,200982.109375,3379790.25,647.76385,883.77325,764.4745,2770.2996,0.5476128,1805.7129,-0.17954195
32,1283,150.50351,3314.0476,203810.46875,3379775.0,273.0912,425.5912,378.84723,2217.0024,0.72072077,1811.5125,-0.06969235
33,1697,161.00177,3463.9646,205309.640625,3379670.0,589.80493,824.2799,791.4558,2281.7256,0.47682795,1814.592,-0.09502554
34,1396,158.57164,2658.9197,197259.203125,3379694.25,1201.2535,1455.1676,1572.7987,1925.2156,0.08872965,1798.086,-0.0030645852
35,1247,159.21812,3161.442,202284.421875,3379687.75,381.8793,550.1339,549.6375,2232.9338,0.6095,1808.3887,-0.0969541
36,1247,161.3745,2803.6497,198706.5,3379666.25,450.13794,730.90857,732.4892,2536.5598,0.5560162,1801.0547,-0.15637791
37,1249,161.1193,2615.4924,196824.921875,3379668.75,1207.9752,1448.4203,1545.5813,1750.3003,0.05296755,1797.1973,0.034278885
38,1176,170.05952,3051.6548,201186.546875,3379579.5,579.19006,813.27167,785.95917,2835.2798,0.5701627,1806.144,-0.19804895
39,1401,163.65382,2569.4282,196364.28125,3379643.5,1166.4119,1425.596,1524.0243,1864.105,0.077867806,1796.2544,0.026224848
40,1251,167.27818,2768.4102,198354.09375,3379607.25,581.7034,860.2814,894.21906,2413.35,0.49118343,1800.3356,-0.14010574
41,1517,170.83916,2531.0232,195980.234375,3379571.5,1158.1002,1450.8259,1624.6757,2235.948,0.17084776,1795.4712,-0.09664442
42,1303,171.48888,2882.4658,199494.65625,3379565.0,364.2594,618.5549,552.4574,2676.6785,0.6611225,1802.6763,-0.18175234
43,1546,176.62936,2492.1377,195591.375,3379513.75,1113.9728,1409.85,1597.0233,2301.0408,0.18859972,1794.6774,-0.11411577
44,1314,171.35388,2964.4521,200314.515625,3379566.5,411.22488,598.16284,485.0563,2646.4033,0.6921375,1804.3569,-0.16885068
45,1577,175.53583,3382.4229,204494.21875,3379524.75,456.00507,644.75714,622.32465,2489.1934,0.60494244,1812.9283,-0.13789164
46,1444,178.63365,2922.3254,199893.25,3379493.75,430.20117,723.2552,667.6669,2869.7104,0.60989684,1803.4974,-0.20425309
47,1172,173.77644,3118.1484,201851.484375,3379542.25,481.2129,697.378,713.6434,2570.0571,0.5789236,1807.5093,-0.16401127
48,1121,176.91704,2692.5112,197595.109375,3379510.75,850.0473,1160.7288,1269.2249,2401.6672,0.32638365,1798.7852,-0.13188273
49,1318,180.29893,3297.3809,203643.8125,3379477.0,279.42603,441.46927,347.11343,2571.552,0.7619338,1811.1875,-0.14888653
50,1394,181.32281,2737.7754,198047.75,3379466.75,464.14133,728.0222,710.0201,2449.0847,0.5557066,1799.7157,-0.14202742
51,1251,184.18465,2825.94,198929.40625,3379438.25,288.024,537.8361,426.8809,2449.7026,0.7066272,1801.5247,-0.1331389
