class_id,class_name,area_2016_ha,area_2024_ha,change_ha,pct_2016,pct_2024
1,Built-up,3606.9500000000003,17427.28,13820.33,3.620795923611892,17.494177735661168
2,Dense Veg,62596.42,46819.97,-15776.45,62.836707569746714,46.99969684071891
3,Mixed Veg/Crop,28752.49,33206.94,4454.45,28.862861582692215,33.33441078684891
4,Bare/Open,4449.45,1677.0900000000001,-2772.36,4.466530010761151,1.6835278103467661
5,Water,212.29,486.32,274.03000000000003,0.21310491318803104,0.4881868264242463
