,2024_Built-up,2024_Dense Veg,2024_Mixed Veg/Crop,2024_Bare/Open,2024_Water,row_total
2016_Built-up,6442.74,7.3500000000000005,773.0600000000001,422.92,101.59,7747.660000000001
2016_Dense Veg,654.1,42200.35,13382.43,293.51,8.6,56538.99
2016_Mixed Veg/Crop,6586.84,584.62,21424.96,2059.54,104.84,30760.8
2016_Bare/Open,2009.57,3.54,593.44,1441.21,187.6,4235.360000000001
2016_Water,76.75,0.48,4.92,51.09,201.55,334.79
col_total,15770.0,42796.340000000004,36178.81,4268.27,604.1800000000001,99617.59999999999
